01-22 03:09:15: Training starting...
01-22 03:09:17: New best reward 15.0 (-100.0%) at episode 0, saving model...
01-22 03:09:17: New best reward 20.0 (+33.3%) at episode 1, saving model...
01-22 03:09:17: New best reward 23.0 (+15.0%) at episode 5, saving model...
01-22 03:09:17: New best reward 43.0 (+87.0%) at episode 9, saving model...
01-22 03:09:18: New best reward 66.0 (+53.5%) at episode 68, saving model...
01-22 03:09:18: New best reward 92.0 (+39.4%) at episode 137, saving model...
01-22 03:09:21: New best reward 97.0 (+5.4%) at episode 350, saving model...
01-22 03:09:22: New best reward 121.0 (+24.7%) at episode 404, saving model...
01-22 03:09:24: New best reward 141.0 (+16.5%) at episode 578, saving model...
01-22 03:09:25: New best reward 152.0 (+7.8%) at episode 613, saving model...
01-22 03:09:27: New best reward 160.0 (+5.3%) at episode 693, saving model...
01-22 03:09:29: New best reward 163.0 (+1.9%) at episode 776, saving model...
01-22 03:09:32: New best reward 182.0 (+11.7%) at episode 910, saving model...
01-22 03:09:34: New best reward 195.0 (+7.1%) at episode 948, saving model...
01-22 03:09:37: New best reward 244.0 (+25.1%) at episode 1057, saving model...
01-22 03:09:47: New best reward 247.0 (+1.2%) at episode 1303, saving model...
01-22 03:09:53: New best reward 251.0 (+1.6%) at episode 1418, saving model...
01-22 03:09:57: New best reward 328.0 (+30.7%) at episode 1502, saving model...
01-22 03:10:01: New best reward 430.0 (+31.1%) at episode 1563, saving model...
01-22 03:10:15: New best reward 442.0 (+2.8%) at episode 1780, saving model...
01-22 03:10:34: New best reward 475.0 (+7.5%) at episode 1971, saving model...
01-22 03:10:35: New best reward 655.0 (+37.9%) at episode 1977, saving model...
01-22 03:10:44: New best reward 777.0 (+18.6%) at episode 2035, saving model...
01-22 03:10:46: New best reward 879.0 (+13.1%) at episode 2042, saving model...
01-22 03:10:47: New best reward 948.0 (+7.8%) at episode 2044, saving model...
01-22 03:10:52: New best reward 1366.0 (+44.1%) at episode 2071, saving model...
01-22 03:11:05: New best reward 2570.0 (+88.1%) at episode 2135, saving model...
01-22 03:11:37: New best reward 2890.0 (+12.5%) at episode 2254, saving model...
01-22 03:11:40: New best reward 4261.0 (+47.4%) at episode 2257, saving model...
01-22 03:12:16: New best reward 4762.0 (+11.8%) at episode 2407, saving model...
01-22 03:13:11: New best reward 5493.0 (+15.4%) at episode 2446, saving model...
01-22 03:13:32: New best reward 7184.0 (+30.8%) at episode 2463, saving model...
01-22 03:13:37: New best reward 8406.0 (+17.0%) at episode 2471, saving model...
01-22 03:13:45: New best reward 8587.0 (+2.2%) at episode 2493, saving model...
01-22 03:14:20: New best reward 10995.0 (+28.0%) at episode 2549, saving model...
01-22 03:17:52: New best reward 19079.0 (+73.5%) at episode 2715, saving model...
01-22 03:24:26: New best reward 19473.0 (+2.1%) at episode 2950, saving model...
01-22 03:25:55: New best reward 19885.0 (+2.1%) at episode 3011, saving model...
01-22 03:27:11: New best reward 21021.0 (+5.7%) at episode 3053, saving model...
01-22 03:27:48: New best reward 22270.0 (+5.9%) at episode 3080, saving model...
01-22 03:30:04: New best reward 30352.0 (+36.3%) at episode 3227, saving model...
01-22 03:31:32: New best reward 32687.0 (+7.7%) at episode 3305, saving model...
01-22 03:35:13: New best reward 50939.0 (+55.8%) at episode 3375, saving model...
01-22 03:37:55: New best reward 84555.0 (+66.0%) at episode 3414, saving model...
01-22 04:08:01: New best reward 133890.0 (+58.3%) at episode 3570, saving model...
01-22 04:24:34: New best reward 150000.0 (+12.0%) at episode 3697, saving model...
