01-20 22:33:55: Training starting...
01-20 22:33:55: New best reward -3.9 (-100.0%) at episode 0, saving model...
01-20 22:33:56: New best reward -2.1 (-46.2%) at episode 6, saving model...
01-20 22:34:02: New best reward -1.5 (-28.6%) at episode 706, saving model...
01-20 22:34:08: New best reward 3.9 (-360.0%) at episode 1209, saving model...
01-20 22:36:30: New best reward 4.1 (+5.1%) at episode 10799, saving model...
01-20 22:36:43: New best reward 6.0 (+46.3%) at episode 11570, saving model...
01-20 22:37:03: New best reward 6.1 (+1.7%) at episode 12868, saving model...
01-20 22:38:41: New best reward 6.3 (+3.3%) at episode 17916, saving model...
01-20 22:39:10: New best reward 6.6 (+4.8%) at episode 19412, saving model...
01-20 22:39:53: New best reward 8.4 (+27.3%) at episode 21703, saving model...
01-20 22:42:14: New best reward 9.1 (+8.3%) at episode 28500, saving model...
01-20 22:44:12: New best reward 9.5 (+4.4%) at episode 33810, saving model...
01-20 22:45:07: New best reward 10.6 (+11.6%) at episode 36298, saving model...
01-20 22:45:23: New best reward 10.9 (+2.8%) at episode 37028, saving model...
01-20 22:45:29: New best reward 12.9 (+18.3%) at episode 37310, saving model...
01-20 22:46:51: New best reward 14.0 (+8.5%) at episode 40455, saving model...
01-20 22:47:04: New best reward 17.9 (+27.9%) at episode 40989, saving model...
01-20 22:47:24: New best reward 22.8 (+27.4%) at episode 41854, saving model...
01-20 22:53:41: New best reward 26.9 (+18.0%) at episode 48946, saving model...
01-20 22:54:06: New best reward 32.6 (+21.2%) at episode 49577, saving model...
01-20 22:55:07: New best reward 34.8 (+6.7%) at episode 51247, saving model...
01-20 22:55:59: New best reward 41.5 (+19.3%) at episode 52775, saving model...
01-20 23:04:15: New best reward 45.9 (+10.6%) at episode 58464, saving model...
01-20 23:05:14: New best reward 57.6 (+25.5%) at episode 59952, saving model...
01-20 23:10:31: New best reward 58.7 (+1.9%) at episode 66832, saving model...
01-20 23:15:24: New best reward 74.1 (+26.2%) at episode 72954, saving model...
01-20 23:29:13: New best reward 74.9 (+1.1%) at episode 85533, saving model...
01-20 23:31:44: New best reward 78.4 (+4.7%) at episode 88723, saving model...
01-20 23:34:50: New best reward 88.0 (+12.2%) at episode 92500, saving model...
